name,description,master,kind,unit,address,readable,writable,type,rawMin,rawMax,scaleUnit,scaleFunction,scaleMin,scaleMax,noise,archive,valueMap
zones.5.serialNumbers,Numery seryjne strefy 5,-,setting,-,-,0,1,object,-,-,-,-,-,-,-,-,-
zones.5.startTime,Czas rozpoczęcia strefy 5,-,setting,-,-,0,1,double,-,-,-,-,-,-,-,-,-
zones.5.finishTime,Czas zakończenia strefy 5,-,setting,-,-,0,1,double,-,-,-,-,-,-,-,-,-
zones.5.metric,Pomiar 5,-,setting,-,-,0,1,double,-,-,-,-,-,-,-,-,-
zones.5.greenLed,Sygnalizator zielony 5,moxa,register,3,1,1,1,uint16,-,-,-,"onOffWrite(256, 512)",-,-,-,-,-
zones.5.orangeLed,Sygnalizator pomarańczowy 5,moxa,register,3,2,1,1,uint16,-,-,-,"onOffWrite(256, 512)",-,-,-,-,-
zones.5.redLed,Sygnalizator czerwony 5,moxa,register,3,3,1,1,uint16,-,-,-,"onOffWrite(256, 512)",-,-,-,-,-
zones.5.buzzer,Buzer 5,moxa,register,3,4,1,1,uint16,-,-,-,"onOffWrite(256, 512)",-,-,-,-,-
zones.5.on,Stan strefy 5,moxa,register,3,16,1,1,uint16,-,-,-,"onOffWrite(256, 512)",-,-,-,-,-
zones.6.status,Status strefy 6,-,setting,-,-,0,1,string,-,-,-,-,-,-,-,-,-
zones.6.testId,ID ostatniego testu na strefie 6,-,setting,-,-,0,1,string,-,-,-,-,-,-,-,-,-
zones.6.program,Aktualny program strefy 6,-,setting,-,-,0,1,object,-,-,-,-,-,-,-,-,-
zones.6.serialNumbers,Numery seryjne strefy 6,-,setting,-,-,0,1,object,-,-,-,-,-,-,-,-,-
zones.6.startTime,Czas rozpoczęcia strefy 6,-,setting,-,-,0,1,double,-,-,-,-,-,-,-,-,-
zones.6.finishTime,Czas zakończenia strefy 6,-,setting,-,-,0,1,double,-,-,-,-,-,-,-,-,-
zones.6.metric,Pomiar 6,-,setting,-,-,0,1,double,-,-,-,-,-,-,-,-,-
zones.6.greenLed,Sygnalizator zielony 6,moxa,register,3,5,1,1,uint16,-,-,-,"onOffWrite(256, 512)",-,-,-,-,-
zones.6.orangeLed,Sygnalizator pomarańczowy 6,moxa,register,3,6,1,1,uint16,-,-,-,"onOffWrite(256, 512)",-,-,-,-,-
zones.6.redLed,Sygnalizator czerwony 6,moxa,register,3,7,1,1,uint16,-,-,-,"onOffWrite(256, 512)",-,-,-,-,-
zones.6.buzzer,Buzer 6,moxa,register,3,8,1,1,uint16,-,-,-,"onOffWrite(256, 512)",-,-,-,-,-
zones.6.on,Stan strefy 6,moxa,register,3,12,1,1,uint16,-,-,-,"onOffWrite(256, 512)",-,-,-,-,-
,Inne,,,,,,,,,,,,,,,,
zoneCount,Ilość stref,-,setting,-,-,0,1,uint16,-,-,-,-,-,-,-,-,-
program,Aktualny domyślny program,-,setting,-,-,0,1,object,-,-,-,-,-,-,-,-,-
,Stany połączenia z urządzeniami,,,,,,,,,,,,,,,,
masters.controlProcess,Stan połączenia z urządzeniami sterowania,-,virtual,-,-,0,0,bool,-,-,-,-,-,-,-,-,-
masters.moxa,Stan połączenia ze sterownikiem MOXA,moxa,virtual,-,-,0,0,bool,-,-,-,-,-,-,-,-,-
